domain,step
Creating Artisanal Sourdough Starter Kits,Package in jars with instructions for feeding and use
Hand-braiding of friendship bracelets,Select embroidery floss or yarn in desired colors
Wire Sculpture,Adding finer details
Handmade Ceramics (Sculpting),Glaze fire to finish
Bread Baking,Removing bread from oven and cooling on wire rack
Photography Editing,Converting to sepia tones
Medical Billing and Coding,Following up on claim status
Hand-drawn Animation,Draw in-between frames for smooth animation
Hand trimming hedges,Shape as desired
Soapmaking,Add fragrance & colorants
Manufacturing Assembly,Inspecting finished goods
Bank Teller Transactions,Assisting with wire transfers
Soap Making (Cold Process),Covering molds and insulating to promote gel phase
Soap Making (Cold Process),Covering molds and insulating to promote gel phase
Custom Surf Fin Crafting,Laminate for strength
Shoe Making (Traditional),Apply adhesive to parts to be joined
Creating Handmade Paper Beads for Jewelry,Cut paper strips
Manual threading of needles,Cut thread to desired length
Manual threading of beads,Cut thread to desired length
Hand making paper,Pour mixture onto screen
Event Planning,Reviewing event metrics
Manual braiding of hair for special occasions,Begin braiding from top of head and continue down length of hair
Hand-braiding of hair for special occasions,Begin braiding from top of head and continue down length of hair
Egg Decorating (Pysanky),Adding wax and dye layers for different colors
Wood Burning (Pyrography),Applying finish or sealant to preserve wood and design
Decoupage Furniture Refinishing,Cutting or tearing decoupage materials to fit furniture surface
Homemade Jam and Preserves,Inspect for proper seal and consistency
Tea Blending,Mixing teas and additives in blending bowl
Tie Making,Packaging tie
Leather Journal Making,Packaging journal for sale or gifting
Artisanal Vinegar Making,Label with batch and date
Woodblock Printing,Inspect for clarity and depth of print
Basket Weaving,Packaging basket
Hand-weaving of baskets,Secure ends and trim excess
Willow Weaving,Secure ends and trim excess
Creating Hand-Felted Animal Figures,Add details for realism
Wood Burning (Pyrography),Sketching design onto wood surface
Metal Stamping Jewelry Making,Choosing metal stamping design and letter stamps
Masonry,Cure mortar
Bread Baking (Artisanal),Score dough to control expansion
Kite Making,Choosing kite design
Manual folding of fitted sheets,Lay sheet flat
Glass Fusing,Cutting glass pieces to desired shapes
Hand-carving of rubber stamps,Trim excess rubber around design
IT Support,Rebooting systems
Technical Support,Rebooting systems
Making Natural Dyes,Dye fabric or yarn
Natural Dyeing,Dye fabric or yarn
Hand-dyed Yarn,Soak yarn to wet
Hand-crafting of leather journals,Cut leather to size for cover
Tiling a Floor,Lay out tile pattern
Sock Knitting,Turning heel
Home Brewing (Beer),Boil wort
Beer Brewing,Boil wort
Home Brewing,Boil wort
Windsor Chair Making,Shape legs and spindles with drawknife and spokeshave
Kombucha Brewing,Networking with other homebrewers
Social Media Management,Monitoring brand sentiment
Creating Hand-Spun Art Yarn with Novelty Fibers,Choose fibers and add-ins
Wrought Iron Crafting,Inspect for strength and beauty
Handmade Pottery,Wedging clay to remove air bubbles
Manual planting of vegetable gardens,Plant seeds or seedlings according to spacing guidelines
Creating Hand-Spun Cotton Yarn,Wind into skeins
Creating Hand-Dyed Yarn with Natural Dyes,Wind into skeins
Creating Hand-Spun Art Yarn with Novelty Fibers,Wind into skeins
Hand-dyed Yarn,Wind into skeins
Tie Making,Custom tie orders
Book Restoration, Rebind if necessary
Janitorial Services,Emptying ashtrays
Seed Saving,Labeling seeds with variety and date collected
Washing Dishes, Fill sink with soapy water 
Doll Making,Embroidering details
Flower Arranging,Add accents
Soap Making (advanced), Add inclusions like herbs or botanicals 
Coffee Roasting,Add beans
Knitting,Creating cables or lace
Making Bespoke Leather Plant Hangers,Measure and cut to length
Winemaking, Monitor fermentation process 
Making Personalized Enamel Camping Mugs,Select plain mugs
Bonsai Tree Sculpting,Inspect for balance and aesthetics
Mural Painting,Clean and store materials
Pruning, Cut cleanly 
Metal Stamping Jewelry Making,Selecting metal blanks or discs for stamping
Furniture Refinishing,Staining
Legal Document Review,Reviewing timelines
Healthcare Appointment Scheduling,Blocking off unavailable times
Dairy Farming,Storing dairy products
Soap Making (Cold Process),Selecting soap-making oils and fats
Gardening,Harvest
Floristry,Taking orders
Content Localization,Staying updated on cultural shifts
Aromatherapy,Select essential oils
Hand-dyeing of yarn,Prepare dye bath using dye powder or liquid
Cigar Rolling,Wrapping binder around filler
Manual Data Entry,Cross-referencing information
Stained Glass (Tiffany Style),Wrap in copper foil
Custom Lampshade Crafting,Inspect for light diffusion and finish
Mushroom Cultivation,Prepare substrate 
Legal Case Management,Updating clients on case progress
Handmade Greeting Cards,Inspect for neatness and creativity
Candle Making (Soy Wax),Researching soy wax properties and candle-making techniques
Bookkeeping (Manual), Categorize entries 
Travel Planning,Setting up travel alerts
Homemade Cheese Making,Drain whey and press curd
Knitting,Choosing yarn
Legal Document Review,Reviewing case law
Embroidery,Sharing embroidery on social media or personal website
Net Making,Tie knots 
Hydroponics, Care for plants grown hydroponically
Beekeeping,Bottling honey
Beekeeping,Bottling honey
Beekeeping,Bottling honey
Artisanal Chocolate Truffles,Cool ganache to scoopable consistency
Roofing,Install underlayment
Soap Packaging,Researching eco-friendly packaging options
Creating Personalized Porcelain Mugs,Choose porcelain mugs
Handmade soap making,Cut into bars
Salt Curing,Rinse & dry
Paper Marbling,Use stylus or comb to create patterns
Bonsai Cultivation,Sharing knowledge and experiences with bonsai community
Making Traditional Leather Armor,Dye and decorate
Construction Project Management,Allocating resources
Custom Paracord Bracelets,Melt ends to prevent fraying
Crafting Custom Scented Soy Wax Candles,Melt soy wax
Artisanal Candle Making (Soy Wax),Melt soy wax
Making Hand-Forged Steel Hooks,Heat steel in forge
Metal Etching,Transferring design onto resist
Kite Making,Attach sail to frame
Knife Making,Sharpening blade
Tea Blending,Researching tea varieties and flavor combinations
Wine Making,Ferment juice with yeast
Charcuterie,Cure/smoke/dry according to traditional methods
Playing a Video Game (advanced - specific genre), Participate in online gaming communities and tournaments
Childcare,Assisting with potty training
Batik Fabric Dyeing,Dye in second color
Building Greenhouses,Construct frame
Boatbuilding,Construct frame
Hairdressing,Promoting salon services
Kombucha Brewing,Refrigerating bottled kombucha to halt fermentation
Salsa Making,Cleaning salsa-making equipment
Metal Casting,Clean and polish
Engraving (Metal),Clean and polish
Crafting Stained Glass Jewelry,Clean and polish
Making Bespoke Silver Jewelry,Clean and polish
Creating Custom Suncatchers,Clean and polish
Creating Custom Etched Copper Garden Tags,Clean and polish
Crafting Artisan Perfume Oils,Blend carrier oil with essential oils
Car Maintenance,Cleaning interior
Education Planning,Updating teaching strategies
Wooden Puzzle Making,Use scroll saw to cut pieces
Crafting Personalized Kitchen Aprons with Screen Printing,Choose fabric
Household Budgeting,Planning for large purchases
Event Planning,Arranging seating
Hand-crafted Soap Making,Combine lye solution with oils
Content Creation,Proofreading content
Hand-crafting of soap bars,Pour soap into molds
Manual invoice processing,Cross-check for accuracy
Crafting Hand-Painted Porcelain Dinnerware,Paint with porcelain paints
Hand-painted Porcelain,Paint with porcelain paints
Healthcare Appointment Scheduling,Managing provider schedules
Fruit Preserving (Jam Making),Processing jars in boiling water bath (if canning)
Hairdressing,Curling hair
Fitness Training,Tracking calorie intake
Quality Assurance in Manufacturing,Conducting destructive tests
Hand-crafting of paper lanterns,Cut paper into desired shapes
Playing a Sport, Compete against opponents
Crafting Personalized Fabric Tote Bags,Select fabric
Crafting Artisan Fabric Lampshades Using Shibori Dye Techniques,Select fabric
Hand-sewn Clothing,Select fabric
Photography Editing,Creating photo montages
Education Planning,Adapting lessons for diverse learners
Wine Making,Bottle wine
Catering,Cleaning up
Doll Making,Maintaining sewing machine and tools
Making Hand-Felted Wool Slippers,Shape around form
Hand-sewn Clothing,"Sew closures (buttons, zippers)"
Hand-crafted Soap Making,Cure soap bars on racks
Travel Planning,Reserving attractions tickets
Fitness Training,Measuring body metrics
Creating Artisan Flavored Vinegars,"Add fruits, herbs, or spices"
Handcrafted Soapstone Carving,Select soapstone block
Leather Bookbinding,Inspect for alignment and finish
Silkscreen Printing,Create stencil
Business Expense Management,Tracking mileage expenses
Hand-carving of wooden bowls,Refine shape and smooth surfaces
Hand-carving of wooden spoons,Refine shape and smooth surfaces
Hand-carving of wooden spoons,Refine shape and smooth surfaces
Creating Custom Enamel Pins,Attach pin backing
Custom Surf Fin Crafting,Inspect for symmetry and attachment strength
Recruitment Process,Introducing new hires to team members
Hand-sculpting of marzipan decorations,Knead marzipan until pliable
Embroidery,Choosing design
Hand-stitching of leather belts,Hand-stitch edges together using saddle stitch
Hand-stitching of leather belts,Hand-stitch edges together using saddle stitch
Hand-painting of Easter eggs,Allow paint to dry between layers
Manual painting of wall murals,Allow paint to dry between layers
Hand-painting of Easter eggs,Allow paint to dry between layers
Hand-painting of murals,Allow paint to dry between layers
Hand-painting of wall murals,Allow paint to dry between layers
Traditional Canoe Building,Finish with oils or varnishes
Candle Making (Soy Wax),Stirring fragrance into melted wax thoroughly
Ikebana (Flower Arranging),Adjust for balance and form
Ikebana (Japanese Flower Arranging),Adjust for balance and form
Creating Handmade Paper Beads for Jewelry,Thread onto string or wire
Hand-crafting of beaded jewelry,"Add clasps, jump rings, and other findings as needed"
Salsa Making,"Adding seasonings (e.g., salt, lime juice, garlic)"
Data Analysis,Optimizing model parameters
Handcrafted Dreamcatchers,"Select hoop material (willow, metal)"
Bead Weaving,Inspecting beadwork for uniformity and quality
Dance (Historical),"Learn court dances, country dances, etc."
Constructing Traditional Igloos,Arrange in spiral pattern
Custom Lampshade Crafting,Attach material to frame with adhesive or sewing
Aquaponics,Set up tank 
Painting (Acrylic/Oil),"Prepare paints, brushes, and canvas "
Traditional Book Restoration,Rebind pages using traditional stitching
Construction,Leveling surfaces
Handcrafted Paper Flowers,Add details with paint or markers
Crafting Bespoke Wooden Clock Faces,Assemble with clock mechanism
Making Hand-Felted Wool Slippers,Select wool roving
Fishing,Choose bait
Manual glass blowing,Cool slowly in annealing oven
Playing a Video Game (advanced - specific genre),"Master specific skills and strategies for a particular genre (e.g., resource management in strategy games) "
Furniture Restoration, Varnish or paint 
Jewelry Making,Assembling components
Ironmongery,Assembling components
Jewelry Making,Assembling components
Luthiery (Guitar Making),Assembling components
Ice Sculpting,Assembling components
Furniture Making,Assembling components
Jewelry Making,Assembling components
Manufacturing Assembly,Assembling components
Glassblowing,Signing finished piece
Creating Handmade Aromatherapy Bracelets,Select porous beads
Manual crafting of paper flowers,Select paper and floral wire
Creating Artisan Hot Chocolate Mixes,Add spices or dried marshmallows
Birdhouse Building,Observing bird activity
Playing a Musical Instrument,2
Masonry (Fireplaces & Stonework),"Create chimneys, arches, & artistic stone elements"
Macrame,Choosing macrame cord
Basket Weaving,Creating base of basket
Creating Custom Surfboard Fins,Cut from fiberglass or wood
Ironmongery,Welding
Metalworking,Welding
Hotel Housekeeping,Checking for pests
Graphic Design,Estimating project costs
Manufacturing Assembly,Implementing lean principles
Building a Handmade Quilt Rack,Add rungs for quilts
Janitorial Services,Inspecting fire extinguishers
Healthcare Appointment Scheduling,Coordinating multi-provider appointments
Hand-Sewing Clothing Repair,Sharing mending tips and tutorials online
Composting, Monitor moisture and turn the compost pile regularly
Upholstery,Removing old upholstery
Content Localization,Implementing changes
Ceramic Tile Making,Inspect for glaze run or imperfections
Mosaic Art,"Selecting mosaic base (e.g., wood, tile, glass)"
Soap Dispenser Refilling,Replacing dispenser lid or pump
Fly Tying,Adding hackle or collar
Crafting Custom Painted Surfboards with Eco-Friendly Paints,Sand surface
Education Planning,Creating a positive classroom culture
Crafting Hand-Stitched Quilts with Personalized Themes,Sew layers
Car Maintenance,Maintaining tire tread depth
Natural Fabric Dyeing,Adjust color by time in bath
Legal Contract Management,Reviewing indemnification clauses
Locksmithing,Reassembling lock
Beekeeping,Introduce bees
Terrarium Making,Arranging decorations
Event Planning,Arranging decorations
Crafting Decorative Leather Book Covers,Attach to book
Maple Sugaring,Boil sap down into syrup
Rug Making (Hand-Knotted),Select pattern and colors
Crafting Wool Dryer Balls,Card wool
Tailoring,Adding buttons/zippers
Leather Bookbinding,Fold and sew paper into signatures
Custom Leather Journal Making,Fold and sew paper into signatures
Whittling,Sand smooth if desired
Manual weeding of gardens,Dispose of pulled weeds
Handmade Pasta Making,Inspect for texture and consistency
Hand-spun Fiber Art,Inspect for texture and consistency
Candlestick Making,Inserting candle holders
Candlestick Making,Applying finish or paint to candlestick
Soap Mold Making,Selecting mold material
Lotion Making,Allowing lotion to cool and set
Creating Custom Stained Glass Lamps,Fit into copper foil or lead came
Doll Making,Adding jointing or articulation points (optional)
Woodworking,Cut wood
Handmaking Bat Houses,Cut wood
Building Handcrafted Birdhouses from Recycled Wood,Cut wood
Building a Handcrafted Potting Bench,Cut wood
Building Wooden Toy Boxes,Cut wood
Building a Hand-Crafted Picnic Table with Built-in Coolers,Cut wood
Crafting Artisan Wooden Salad Tongs,Cut wood
Building a Foldable Wooden Camp Table,Cut wood
Building a Wooden Laptop Stand with Adjustable Angles,Cut wood
Building a Handcrafted Potting Bench with a Sink,Cut wood
Building Custom Indoor Window Shutters,Cut wood
Crafting Custom Floating Nightstands for Small Spaces,Cut wood
Building a Hand-Painted Cornhole Game Set,Cut wood
Building a Hand-Crafted Tree Bookcase,Cut wood
Building a Handcrafted Kitchen Island on Casters,Cut wood
Soap Making (Cold Process),Allowing melted oils and lye solution to cool to similar temperatures
Manual grooming of bonsai trees,Shape tree using wire
Model Railroading,Detail locomotives & cars
Hairdressing,Networking with clients
IT Support,Assigning tickets to technicians
Technical Support,Assigning tickets to technicians
Warehouse Operations,Utilizing storage equipment
Therapeutic Massage,"Employ deep tissue, trigger point, or myofascial release techniques"
Quality Assurance in Manufacturing,Conducting durability tests
Beading,Testing jewelry for durability and wearability
Manual balancing of tires,Attach wheel to balancing machine
Sushi Chef,Assemble & present sushi beautifully
Pottery (Hand-Building),Decorate surface
Chocolate Making,Adding fillings
Crafting Beaded Window Curtains,Secure strands to rod
Making Bespoke Beaded Curtains,Secure strands to rod
Graphic Design,Organizing project files
Manual rolling of cinnamon rolls,Prepare dough and roll out into rectangle
Singing,Practice songs
Fruit Preserving (Jam Making),Skimming off any foam that forms on surface
Calligraphy,Allowing ink to dry
Ceramic Tile Making,Bisque fire tiles
Construction Project Management,Providing project updates
Kombucha Brewing,Allowing for secondary fermentation (if desired)
Custom Paracord Bracelets,Weave cord using chosen knot style
Making Sourdough Bread,Mix starter and water
Car Maintenance,Checking coolant levels
Vehicle Maintenance,Checking coolant levels
Traditional Weathervane Crafting,Balance and mount on arrow
Social Media Management,Identifying target audiences
Crafting Hand-Stitched Quilts with Personalized Themes,Select fabrics
Hand-sewn Quilting,Select fabrics
Eco-printing on Fabric,Inspect for print clarity and color transfer
Building Custom Bicycles,Select tubing
Heritage Conservation (Artifacts),Apply protective coatings
Customer Support Ticket Resolution,Consulting knowledge bases
Fermentation,Mixing ingredients with salt to create brine
Installing Drywall,Tape & mud joints
Drywall (Finishing),Tape & mud joints
Inventory Replenishment,Collaborating with suppliers
Metalworking (Forging),Preparing forge and tools for heating
Winemaking (advanced), Bottle the wine and allow it to age for several years (depending on the type)
Hairdressing,Updating client records
Event Planning,Ordering catering services
Sourdough Bread Making,Scoring tops of loaves to allow for expansion
Baking Bread (Sourdough),Scoring tops of loaves to allow for expansion
Business Expense Management,Issuing corporate credit cards
Glass Painting, Use specialized glass paints for vibrant colors 
Herbal Tea Blending,Educating customers about herbal benefits
Making Hand-Forged Metal Candle Holders,Finish with coating
Making Bespoke Wrought Iron Candle Sconces,Finish with coating
Stained Glass Art,Solder pieces together
Stained Glass Crafting,Solder pieces together
Stained Glass (Tiffany Style),Solder pieces together
Silversmithing Jewelry,Solder pieces together
Warehouse Operations,Tracking shipments
Whittling,Sharpen knife to fine edge
Education Planning,Promoting student engagement
Custom Leather Journal Making,Decorate cover as desired
Beeswax Candle Making,Pouring melted beeswax into molds or containers
Legal Contract Management,Finalizing contract agreements
Hand Weaving Baskets from Recycled Materials,Prepare by cutting into strips
Artisanal Candle Making (Beeswax),Inspect for smoothness and shape
Chocolate Making,Conche
Creating Hand-Blown Glass Ornaments,Inflate with blowpipe
Seedling Transplanting,Maintaining consistent watering schedule
Manual engraving,Use engraving tool to carve design
Crafting Artisanal Wood and Resin Serving Boards,Remove from mold
Scrapbooking,Creating titles/captions
Landscaping,Mulch
Traditional Boat Building (Wooden),Assemble keel and frames
Crafting Artisan Perfume Oils,Bottle with roller or dropper
Sewing,Repairing tears
Beekeeping,Monitoring hive health
Bicycle Wheel Building,Inspect for strength and smooth rotation
Childcare,Monitoring screen time
Human Resources Administration,Issuing paychecks
Installing Drywall,Prime
Auto Body Repair,Prime
Creating Personalized Fabric Coasters with Embroidery,Layer with batting
Quilting,Layer with batting
Stained Glass,Fit pieces together with lead came
Baking,Creating recipes
Hairdressing,Disinfecting workstations
Beer Brewing,Bottling beer
Pasta Making,Dusting pasta shapes with flour to prevent sticking
Embroidery Digitizing,Adding digitized lettering or monograms if applicable
Making Traditional Wool Blankets,Weave on loom
Hand-spun Fiber Art,Finish with washing and blocking
Building Handcrafted Kayak Paddles,Design shape
Crafting Wooden Paddle Boards,Design shape
Hand Carving Decorative Candlesticks,Design shape
Making Artisan Charcuterie Boards,Design shape
Making Bespoke Wooden Spatulas,Design shape
Creating Custom Silk Lampshades,Design shape
Building a Handmade Canoe Paddle,Design shape
Crafting Artisan Wooden Salad Tongs,Design shape
Making Bespoke Ceramic Candle Holders,Design shape
Creating Customized Clay Flower Vases with Textured Surfaces,Design shape
Hat Making,Packaging hat
Fishing,Checking local regulations
Marbling,Maintaining marbling tools
Painting (Watercolor or Acrylic),Sketch composition
Drawing,Shade and highlight
Custom Knife Making,Select handle material
Travel Planning,Downloading travel apps
Crafting Silver Photo Frames,Polish and clean
Fishing Net Making,Measuring and cutting
Financial Planning,Providing financial planning software
Landscaping,Building pergolas
Calligraphy,Drafting layout
Silkscreen Printing,Press ink through screen
Hand-poured Resin Art,Select molds or create barrier on surface
Leatherworking,Condition leather for softness and durability
Singing,Warm up voice
Basketry (Pine Needle),Stitch coils together with raffia or thread
Manual assembling of flower arrangements,Adjust and trim as needed
Baking Bread (advanced), Achieve a perfect crust and crumb in your bread
Hand operating printing press,Operate press to produce prints
Embroidery Digitizing,Trimming jump stitches and thread tails as necessary
Human Resources Administration,Enrolling employees in benefits programs
Artisanal Hot Sauce Fermentation,Label with ingredients and batch date
Crafting Decorative Wire Jewelry Trees,Mount on base
Crafting Bespoke Wire Sculptures,Mount on base
Crafting Bespoke Outdoor Mosaic Tables with Ceramic Tiles,Mount on base
Making Bespoke Wire Tree Sculptures,Mount on base
Making Bespoke Concrete Planters with Leaf Impressions,Press leaves for texture
Manual invoice processing,Record approval
Mandala Drawing,Networking with other mandala artists
Crochet Amigurumi Making,Selecting soft yarn suitable for amigurumi
Event Planning,Recognizing event team contributions
Making Bespoke Greeting Cards with Quilling Techniques,Design card
Wet Plate Photography,Develop plate in darkroom
Financial Planning,Maximizing retirement savings
Playing Chess, Capture pieces (if possible) 
Creating Handwoven Bracelets,Select threads or beads
Gemstone Cutting,Faceting gemstone
Cooking,Sweeping floors
House Cleaning,Sweeping floors
Janitorial Services,Sweeping floors
Hairdressing,Sweeping floors
Restaurant Service,Sweeping floors
Making Handcrafted Fishing Lures,Attach hooks and eyes
Knitting,Purl stitches
Birdhouse Making,Attracting birds
Event Planning,Processing vendor payments
Childcare,Teaching manners
Chocolate Making, Create ganache fillings and truffles 
Cake Decorating,Leveling cake
Clinical Trials Management,Writing study reports
Crafting Bespoke Metal Garden Gates,Design gate
Scrapbooking,Add captions and dates
Glassblowing,Trimming excess
Basket Weaving,Trimming excess
Embroidery,Trimming excess
Basket Weaving,Trimming excess
Chocolate Making,Trimming excess
Drawing,Choose subject
Knitting,Creating swatches
Supply Chain Management,Ensuring compliance with trade regulations
Manual tanning of leather,Soak hide in tanning solution
Clinical Trials Management,Disseminating study results
Carpentry, Measure and mark cuts 
Creating Bespoke Earthenware Vessels,Wheel throw or hand-build forms
Hand tying surgical knots,Select appropriate suture material
Recruitment Process,Assigning mentors
Creating Custom Glass Mosaic Mirrors,Cut glass tiles
Cheese Making,Heat and stir curd
Stoneware Pottery,Glaze apply
Manual rolling of sushi,Roll tightly using bamboo mat
Manual rolling of sushi rolls,Roll tightly using bamboo mat
Manual rolling of sushi,Roll tightly using bamboo mat
Hand-making of sushi rolls,Roll tightly using bamboo mat
Manual rolling of sushi rolls,Roll tightly using bamboo mat
Leather Belt Making,Researching belt styles and trends
Archiving,Storing in appropriate containers
Luthiery (Guitar Making),Applying finish
Woodworking,Applying finish
Handmade Leather Belts,Attach buckle
Nail Art,Apply polish
Manicures & Pedicures,Apply polish
Business Expense Management,Coding expenses to appropriate cost centers
Hand cleaning of jewelry,Dry with soft cloth
Data Analysis,Creating association rules
Manual flagging of emails,Organize flagged emails for prioritization
Content Localization,Maintaining brand voice
Bread Baking (Artisanal),Place dough in oven to bake
Welding (Artistic),Join metal to create sculptures & functional art pieces
Net Making,Weave net using twine or natural fibers
Manual assembly of gift boxes,Select box size and decorative paper
Glassblowing,Adding color or design elements
Cigar Rolling,Aging cigar
Whittling,Refine shape with smaller cuts
Crafting Bespoke Beaded Evening Bags,Choose beads and fabric
Crafting Bespoke Metal Bookmarks,File edges smooth
Crafting Personalized Metal House Numbers,File edges smooth
Gemstone Cutting,Selecting gemstone
Wax Sculpting,Add details with carving tools
Dollhouse & Miniature Making,Craft realistic furniture & decorations
Jewelry Making,Soldering
Jewelry Making,Soldering
Stained Glass Making,Soldering
Crocheted Amigurumi,Selecting amigurumi pattern
Candle Making (Soy Wax),Trimming wicks to desired length
Hand-painted Ceramic Tiles,Glaze fire to set paint
Inventory Management,Contacting suppliers
Retail Merchandising,Managing clearance sales
Inventory Management in Retail,Managing clearance sales
Crafting Personalized Denim Jackets with Fabric Paints and Patches,Choose jacket
Engraving (Metal or Glass),Continuously remove debris
Crafting Decorative Iron Gates,Install
Building Custom Indoor Window Shutters,Install
Building a Customized Modular Shelving System,Install
Crafting Bespoke Garden Trellis with Forged Iron,Install
Creating Custom Wool Felt Hats,Shape over hat block
Making Custom Skateboards,Select wood veneer
Paper Cutting,Attending paper art exhibitions
Chocolate Making,Tempering chocolate
Event Photography,Edit & process images
Pottery Making,Center clay on wheel
Handmade Pottery,Center clay on wheel
Manual cleaning and oiling of firearms,Dry and inspect parts
Package Delivery,Adjusting routes
Shoe Repair,Replacing eyelets/laces
Decoupage,Networking with other decoupage artists
Knitting,Knit and purl according to pattern
Engraving (Metal or Glass),Polish engraved area
Hand-painted Porcelain,Apply glaze if desired
Content Creation,Responding to trends
Bushcraft,Forage for edible plants
Hat Making,"Adding decorative elements (e.g., ribbon, feathers)"
Creating Artisanal Mustards,Add flavors
Terrarium Making,Displaying terrarium in well-lit area with indirect sunlight
Handmaking Clay Wind Chimes,Punch holes before drying
Soap Dispenser Refilling,Maintaining soap dispenser cleanliness
Customer Service Call Handling,Issuing refunds
E-commerce Order Fulfillment,Contacting customers for address clarifications
Creating Mosaics with Natural Stones,Seal
Making Sauerkraut by Hand,Seal
Building Hand-Painted Bird Feeders,Seal
Crafting Bespoke Wooden Plant Stands,Seal
Making Hand-Stamped Personalized Leather Tags,Seal
Canning,Seal
Bookbinding,Sew sections
Hand-twisting of pretzels,Divide dough into portions
Manual shaping of baguettes,Divide dough into portions
Wooden Kayak Building,Cut panels to shape
Candle Making,Adding fragrance oils/dyes
Construction Project Management,Preparing construction sites
Laundry Services,Recording inventory
Hand-painting of pottery,Paint design onto pottery using ceramic paints and brushes
Chainmail Making,Cut wire into rings
Crafting Artisan Walking Sticks with Inlaid Stones,Finish with oil or varnish
Windsor Chair Making,Finish with oil or varnish
Maori Wood Carving,Master intricate designs & symbolism
Rug Making (Hand-Knotted),Knot colored threads around warp
Book Restoration,Inspect restoration for durability and appearance
Medical Billing and Coding,Generating patient invoices
Making Hand-Stamped Personalized Leather Tags,Stamp with alphabet stamps
Custom Skate Decks,Glue and press sheets into molds
Candlelight Dinner, Plate and serve 
Bonsai Cultivation,Training branches to desired shape
Beekeeping,Labeling honey jars
Button Making,Inserting fabric into button mold
Hand Crafting Leather Satchels,Design bag
Vehicle Restoration, Repair bodywork 
Home Repair,Repairing appliances
Building Rustic Farmhouse Dining Tables,Assemble top and legs
Customer Service Call Handling,Listening to inquiries
Janitorial Services,Washing walls
Pinball Machine Repair,Refurbish playfield
Hand-painting of canvas shoes,Sketch design onto shoes using pencil or chalk
Hand Sewing,Thread needle
Leather Crafting,Thread needle
Embroidery,Thread needle
Naalbinding (Historical Knitting),Thread needle
Hand-sewn Clothing,Thread needle
Hand Sewing and Embroidery,Thread needle
Hand threading needles,Thread needle
Hand sewing buttons,Thread needle
Manual threading of sewing machines,Thread needle
Legal Contract Management,Reviewing dispute resolution clauses
Creating Custom Etched Wine Glasses,Clean glass
Home Repair,Recaulking
Playing Board Game, Move pieces 
Clinical Trials Management,Ensuring data integrity
Furniture Restoration, Sand surfaces 
Beekeeping,Checking hive health
Data Analysis,Extracting features
Beekeeping,Set up hive
Organizing a Room, Declutter surfaces and remove unnecessary items 
Basic Leatherworking Project,Cut leather pieces according to a pattern 
Wood Burning (Pyrography),Choosing pyrography tool or pen tips
Natural Dyeing,Extract dyes from plants/insects
Retail Merchandising,Managing backstock
Cake Decorating,Mixing frosting
Hunting (Traditional),Field dress game
Icon Painting (Traditional),Select wooden panel
Bookbinding, Glue spine 
Historical Document Preservation,Assess document condition
Crafting Personalized Slate Cheese Boards,Clean and smooth edges
Handcrafted Incense Making,Inspect for consistent burn and scent
Stonemasonry,Employ traditional mortar techniques
Food Preparation,Blanching vegetables
Canning and Preserving,"Cooking preserves (jams, jellies, pickles, etc.)"
Hand-sewing of leather goods,Hand-stitch leather pieces together using saddle stitch
Hand-crafting of leather wallets,Hand-stitch leather pieces together using saddle stitch
Hand-stitching of leather bags,Hand-stitch leather pieces together using saddle stitch
Legal Contract Management,Reviewing confidentiality provisions
Making Pasta by Hand,Cook
Creating Artisanal Pâte de Fruit with Natural Fruit Puree,Cook
Pasta Making,Cook
Candle Dipping,Dipping candles
Restaurant Service,Checking on table progress
Handmade Soap Wrapping,Securing wrapping material with tape or adhesive
Manual crafting of woven baskets,Weave materials together using desired pattern
Soap Packaging,Designing packaging
Handmaking Artisan Keychains,Shape and decorate
Legal Case Management,Conducting depositions
Content Localization,Conducting linguistic reviews
Playing an Instrument (advanced), Refine musicality and expression
Hand twisting pretzels,Roll dough into ropes
Handcrafted Soapstone Carving,Use rasps and chisels to remove material
Origami Jewelry Making,"Creating earrings, necklaces, bracelets, or rings"
Clinical Trials Management,Conducting study visits
Fixing a Flat Tire, Mount spare tire 
Hand-twisting of churros,Pipe dough into hot oil in spiral or straight shapes
Farming,Packing for transport
Upholstery,Sewing fabric pieces
Hand-threading a needle,Hold needle steady
Murano Glass Making,Anneal in a cooling oven
Hand-pressing of tofu,Prepare tofu block
Kintsugi (Ceramic Repair with Gold),Join pieces together accurately
Stained Glass Making,Cement and clean
Hand Crafting Stained Glass Windows,Cement and clean
Bakery,Cooling
Baking,Cooling
Welding,Cooling
Metal Casting,Cooling
Sourdough Bread Making,Cooling
Jewelry Making (advanced), Create unique and intricate jewelry pieces
Crafting Artisanal Goat Cheese Logs with Herbs and Edible Flowers,Make goat cheese
Quality Assurance in Manufacturing,Categorizing defects by severity
Stone Cutting,Using saws to cut stones
Fishing,Measuring fish
Artisan Cheese Aging,Inspect for flavor development and texture
Luthiery (Guitar Making),Selecting wood
Woodworking,Selecting wood
Birdhouse Making,Selecting wood
Legal Documentation,Reviewing discovery materials
Legal Document Review,Reviewing discovery materials
Scrapbooking,Selecting photos
Leather Wallet Making,Hand stitching or machine sewing wallet
Making Artisanal Hardwood Floor Medallions,Design medallion
Marbling Art,Displaying marbled artwork or using for craft projects
Crafting Artisanal Fabric Baskets with Coil Sewing Technique,Shape into baskets
Legal Document Review,Searching documents
